RecordType,EntityName,TeamName,Matches,Wins,Losses,Kills,Deaths,Assists,Points,Batch,IGN,IGN_ID
Team,T1_Esports,,10,7,3,0.0,0.0,0.0,350,,,
Team,Blacklist_Intl,,12,9,3,0.0,0.0,0.0,450,,,
Player,Swam Gone Shane,,0,0,0,,,,0,B1-26,«{ĶãéŊ}»,1177861943
Player,Myat Htoo Ko Ko,,0,0,0,,,,0,B5-25,Vannish,161721378
Player,Bhone Hein San,,0,0,0,,,,0,B10-25A,C4pital_D,278330793
Player,Myo Zar Ni Ko,,0,0,0,,,,0,B 3-26,Andrew,1415072817
Player,Kyaw Bhone Aung,,0,0,0,,,,0,B10-25,spiritx.lx,209454066
Player,ZarNi Min Htet,None,0,0,0,,,,0,B 5-25,SuperNigga,564286719
